t,x,y,z
1261,-208,-173,420
1262,-208,-173,532
1263,-236,-127,532
1264,-236,-127,532
1265,-236,-127,532
1266,-236,-127,532
1267,-216,-72,626
1268,-216,-72,626
1269,-216,-72,626
1270,-216,-72,626
1271,-216,-72,626
1272,-157,7,670
1273,-157,7,670
1274,-157,7,670
1275,-157,7,670
1276,-157,7,670
1277,-157,139,597
1278,-45,139,597
1279,-45,139,597
1280,-45,139,597
1281,-45,139,597
1282,-45,139,391
1283,41,341,391
1284,41,341,391
1285,41,341,391
1286,41,341,391
1287,41,341,391
1288,29,484,190
1289,29,484,190
1290,29,484,190
1291,29,484,190
1292,29,484,190
1293,-35,415,102
1294,-35,415,102
1295,-35,415,102
1296,-35,415,102
1297,-35,415,102
1298,-191,143,177
1299,-191,143,177
1300,-191,143,177
1301,-191,143,177
1302,-191,143,177
1303,-376,-187,383
1304,-376,-187,383
1305,-376,-187,383
1306,-376,-187,383
1307,-376,-187,383
1308,-380,-380,553
1309,-380,-380,553
1310,-380,-380,553
1311,-380,-380,553
1312,-380,-380,553
1313,-63,-293,632
1314,-63,-293,632
1315,-63,-293,632
1316,-63,-293,632
1317,-63,-37,607
1318,316,-51,607
1319,316,-51,607
1320,316,-51,607
1321,316,-51,607
1322,316,-51,556
1323,518,165,556
1324,518,165,556
1325,518,165,556
1326,518,165,556
1327,518,165,556
1328,547,254,559
1329,547,254,559
1330,547,254,559
1331,547,254,559
1332,547,254,559
1333,586,181,523
1334,586,181,523
1335,586,181,523
1336,586,181,523
1337,586,181,523
1338,677,28,437
1339,677,28,437
1340,677,28,437
1341,677,28,437
1342,677,28,437
1343,816,-129,336
1344,816,-129,336
1345,816,-129,336
1346,816,-129,336
1347,816,-129,336
1348,964,-261,210
1349,964,-261,210
1350,964,-261,210
1351,964,-261,210
1352,964,-261,210
1353,1043,-388,40
1354,1043,-388,40
1355,1043,-388,40
1356,1043,-388,40
1357,1043,-388,40
1358,1036,-520,-159
1359,1036,-520,-159
1360,1036,-520,-159
1361,1036,-520,-159
1362,1036,-520,-357
1363,972,-628,-357
1364,972,-628,-357
1365,972,-628,-357
1366,972,-628,-357
1367,830,-704,-440
1368,830,-704,-440
1369,830,-704,-440
1370,830,-704,-440
1371,830,-704,-440
1372,577,-741,-342
1373,577,-741,-342
1374,577,-741,-342
1375,577,-741,-342
1376,577,-741,-342
1377,398,-666,-159
1378,398,-666,-159
1379,398,-666,-159
1380,398,-666,-159
1381,507,-444,-13
1382,507,-444,-13
1383,507,-444,-13
1384,507,-444,-13
1385,507,-444,-13
1386,832,-166,70
1387,832,-166,70
1388,832,-166,70
1389,832,-166,70
1390,832,-166,70
1391,1245,81,96
1392,1245,81,96
1393,1245,81,96
1394,1245,81,96
1395,1245,81,96
1396,1245,81,96
1397,1585,233,87
1398,1585,233,87
1399,1585,233,87
1400,1585,233,87
1401,1585,233,87
1402,1726,279,22
